toplam_maliyet,siparis_maliyeti_toplam,elde_tutma_toplam,stoksuz_ceza_toplam,servis_seviyesi,ortalama_stok,stoksuz_gun_sayisi,toplam_talep,karsilanan_talep,parca_no,kullanilan_r,kullanilan_Q,senaryo
3062024.1705,4600.0,157785.9277,2899638.2427,0.8884,5975.3816,2.4,30828.7624,26957.7264,Part-28,8452,538,mevcut
45229445.8517,6750.0,581724.5861,44640971.2656,0.767,4463.9488,7.1,44178.4882,31965.9188,Part-29,23086,250,mevcut
1600679.6332,10840.0,132075.3558,1457764.2774,0.9708,8129.1435,1.9,51983.5987,50072.4284,Part-30,17698,881,mevcut
109985.5108,6360.0,69036.6294,34588.8814,0.9986,3632.1413,0.2,31411.461,31372.0425,Part-31,5299,905,mevcut
9179899.9201,5947.5,276953.6401,8896998.78,0.9091,6006.8149,4.3,34900.2284,31048.8304,Part-32,13971,287,mevcut
126320.4848,1567.5,8826.9754,115926.0094,0.9605,5259.5189,3.3,37415.0619,35862.5507,Part-33,10353,1466,mevcut
858802.4311,6300.0,162874.2347,689628.1964,0.9865,10541.4368,0.3,35507.8309,34786.0926,Part-34,18392,1260,mevcut
710492.9331,6800.0,69968.3995,633724.5336,0.9733,9286.6666,2.6,49662.2266,48031.144,Part-35,16313,3298,mevcut
825346.4356,6400.0,118059.0509,700887.3847,0.9762,5927.2968,1.1,20491.9088,19824.8417,Part-36,11285,806,mevcut
35969220.927,8895.0,316279.6275,35644046.2995,0.8609,3344.8568,6.5,28789.6062,24221.9414,Part-37,4854,286,mevcut
2646804.8761,11190.0,161829.3183,2473785.5579,0.9537,3666.962,3.0,19905.9666,18787.1534,Part-38,5926,435,mevcut
