parca_no,mevcut_r,mevcut_Q,onerilen_r,onerilen_Q,optimize_maliyet,servis_seviyesi,ortalama_stok,stoksuz_gun,hedef_servis_saglandir,r_degisimi,Q_degisimi,mevcut_maliyet,maliyet_tasarrufu,tasarruf_orani
Part-180,4261,148,3521,1681,120995.34,1.0,2844.3596,0.0,True,-740,1533,241284.4293,120289.09,49.85
Part-181,3279,559,3307,2565,9657.15,0.9996,2935.3843,0.1,True,28,2006,36509.139,26851.99,73.55
Part-182,1248,109,1641,513,58645.08,0.9986,1076.8089,0.2,True,393,404,381094.218,322449.14,84.61
Part-183,1745,560,1372,607,16050.1,1.0,1116.4356,0.0,True,-373,47,19864.9671,3814.87,19.2
Part-184,1841,113,2099,1053,166284.36,1.0,1643.6433,0.0,True,258,940,1015220.5588,848936.2,83.62
Part-185,957,648,984,1719,16879.98,1.0,1483.4048,0.0,True,27,1071,113803.2084,96923.23,85.17
Part-186,1688,159,1723,510,207477.14,0.9852,973.6791,1.4,True,35,351,247402.9439,39925.8,16.14
Part-187,2521,70,2859,851,522977.06,1.0,1880.5425,0.0,True,338,781,5805982.2888,5283005.23,90.99
Part-188,2613,139,1408,777,57625.04,0.9938,1102.3156,0.3,True,-1205,638,71780.613,14155.57,19.72
Part-189,1489,49,1015,1349,387195.3,1.0,1145.2316,0.0,True,-474,1300,3665574.9554,3278379.66,89.44
Part-190,1569,115,1120,580,18450.85,1.0,886.3544,0.0,True,-449,465,22629.8137,4178.96,18.47
Part-191,3138,296,2244,1742,23612.31,0.9992,1979.7375,0.1,True,-894,1446,35622.4689,12010.16,33.72
Part-192,2098,61,984,756,123340.87,1.0,882.2303,0.0,True,-1114,695,173351.4786,50010.61,28.85
Part-193,3100,660,4480,1427,46318.75,1.0,3214.452,0.0,True,1380,767,284455.4415,238136.69,83.72
Part-194,1293,223,1301,814,65614.52,0.9906,986.2986,0.7,True,8,591,118319.3074,52704.79,44.54
Part-195,1506,191,1568,1549,37165.0,1.0,1606.7538,0.0,True,62,1358,590885.9658,553720.97,93.71
Part-196,5547,306,5824,4517,280241.31,0.9991,5119.7266,0.1,True,277,4211,1777303.9475,1497062.64,84.23
Part-197,1822,480,1896,978,24068.38,1.0,1664.0266,0.0,True,74,498,21668.367,-2400.01,-11.08
Part-198,2156,256,1957,1101,80353.68,0.9942,1517.5173,0.1,True,-199,845,150829.6499,70475.97,46.73
Part-199,1344,82,1394,503,207952.04,1.0,1161.0173,0.0,True,50,421,802230.4497,594278.41,74.08
Part-200,2789,130,2501,1123,153364.31,1.0,2048.9238,0.0,True,-288,993,233111.7162,79747.41,34.21
Part-201,3245,174,3677,3903,2061851.56,1.0,4859.7175,0.0,True,432,3729,120065600.2321,118003748.67,98.28
Part-202,3927,405,3402,4226,24393.64,0.9997,3846.2713,0.1,True,-525,3821,42598.0296,18204.39,42.74
Part-203,1926,130,1696,381,37808.16,0.9952,1165.4997,0.1,True,-230,251,39972.9555,2164.8,5.42
Part-204,2004,40,1513,1178,768611.66,0.9982,1324.8514,0.1,True,-491,1138,2849586.2398,2080974.58,73.03
Part-205,441,309,414,623,3504.83,1.0,574.1086,0.0,True,-27,314,19333.697,15828.87,81.87
Part-206,1822,64,691,815,24540.28,1.0,737.2784,0.0,True,-1131,751,43574.7534,19034.47,43.68
Part-207,869,28,1290,430,717584.97,0.9964,834.9966,0.3,True,421,402,9063570.1687,8345985.2,92.08
Part-208,1003,38,1009,782,407217.8,0.9983,881.6581,0.1,True,6,744,2365239.5748,1958021.77,82.78
Part-209,547,68,590,221,16826.6,0.9999,345.0365,0.2,True,43,153,57273.193,40446.59,70.62
Part-210,2685,133,1724,1351,35012.86,1.0,1531.4173,0.0,True,-961,1218,41320.7068,6307.85,15.27
Part-211,1312,178,1202,800,35081.0,1.0,1099.7248,0.0,True,-110,622,56195.3367,21114.34,37.57
Part-212,2220,70,1192,908,422973.37,1.0,1066.632,0.0,True,-1028,838,525170.095,102196.72,19.46
Part-213,2427,116,2698,827,260663.84,0.9982,1796.1994,0.1,True,271,711,1206465.8043,945801.96,78.39
Part-214,2071,805,1719,1322,1335.68,1.0,1539.4274,0.0,True,-352,517,3468.3991,2132.72,61.49
Part-215,3798,290,5351,1195,135916.06,0.9952,3677.5435,0.1,True,1553,905,362886.1789,226970.12,62.55
Part-216,2654,1533,2069,5903,9725.83,1.0,3936.6977,0.0,True,-585,4370,47639.4761,37913.65,79.58
Part-217,1887,72,1662,1036,431035.77,0.9887,1263.2208,0.8,True,-225,964,868835.9867,437800.22,50.39
Part-218,1288,45,1467,794,680064.84,0.9949,1117.4051,0.1,True,179,749,3326018.8022,2645953.96,79.55
Part-219,6713,450,6653,1261,127040.72,1.0,4788.0009,0.0,True,-60,811,179906.6903,52865.97,29.39
Part-220,4438,146,4564,1343,418122.2,0.9978,3032.1526,0.1,True,126,1197,1217311.5897,799189.39,65.65
Part-221,1263,206,2307,934,48244.32,1.0,2212.8078,0.0,True,1044,728,604591.003,556346.68,92.02
Part-222,1424,235,1510,451,19588.65,0.9986,971.6428,0.1,True,86,216,46197.6137,26608.96,57.6
Part-223,1471,76,1014,511,27049.67,1.0,795.7662,0.0,True,-457,435,33900.6224,6850.95,20.21
Part-224,1639,30,1359,257,656274.35,1.0,978.5272,0.0,True,-280,227,1314531.1764,658256.83,50.08
Part-225,1947,202,2812,757,43783.05,1.0,1877.0658,0.0,True,865,555,267585.2567,223802.21,83.64
